country,city,clicks,views,lat,lng
United States of America,Los Angeles,0.0,152,33.98997825,-118.1799805
United States of America,New York,1.0,144,40.74997906,-73.98001693
United States of America,Seattle,0.0,150,47.57000205,-122.339985
United States of America,Chicago,1.0,118,41.82999066,-87.75005497
United States of America,Portland,0.0,54,43.67216158,-70.2455274
United States of America,Portland,0.0,54,45.52002382,-122.6799901
United States of America,San Francisco,0.0,62,37.74000775,-122.4599777
United States of America,Houston,0.0,145,29.81997438,-95.33997929
United States of America,Philadelphia,0.0,55,39.99997316,-75.16999597
United States of America,Austin,0.0,91,30.26694969,-97.74277836
United States of America,San Diego,0.0,32,32.82002382,-117.1799899
United States of America,Denver,0.0,35,39.73918805,-104.984016
United States of America,Minneapolis,0.0,47,44.97997927,-93.25178634
United States of America,San Jose,0.0,52,37.29998293,-121.8499891
United States of America,Atlanta,0.0,60,33.83001385,-84.39994938
Canada,Toronto,0.0,40,43.69997988,-79.42002079
United States of America,Las Vegas,0.0,49,35.59701194,-105.2225027
United States of America,Las Vegas,0.0,49,36.20999778,-115.2200061
United States of America,Oakland,1.0,30,37.76892071,-122.2211034
United States of America,Miami,1.0,53,25.7876107,-80.22410608
United States of America,Columbus,0.0,57,32.47043276,-84.98001734
United States of America,Columbus,0.0,57,39.97997438,-82.9900096
Singapore,Singapore,0.0,177,1.293033466,103.8558207
United States of America,Charlotte,0.0,91,35.20499453,-80.83003809
United States of America,Phoenix,0.0,107,33.53997988,-112.0699917
United States of America,Dallas,0.0,8,32.82002382,-96.84001693
United States of America,Richmond,0.0,8,39.82889833,-84.89028121
United States of America,Richmond,0.0,8,37.55001935,-77.449986
United States of America,Arlington,0.0,69,32.68476076,-97.02023849
United States of America,Rochester,0.0,13,44.02205324,-92.46968937
United States of America,Rochester,0.0,13,43.17042564,-77.61994979
United States of America,Orlando,0.0,28,28.50997683,-81.38003036
United States of America,Boston,0.0,35,42.32996014,-71.07001367
United States of America,Pittsburgh,0.0,97,40.4299986,-79.99998539
United States of America,Indianapolis,0.0,20,39.74998842,-86.17004806
United States of America,Louisville,0.0,18,38.22501691,-85.74870427
United States of America,Cincinnati,0.0,40,39.16188479,-84.45692265
United States of America,Sacramento,0.0,16,38.57502138,-121.4700381
United States of America,Ann Arbor,0.0,8,42.30037539,-83.71999089
United States of America,Madison,0.0,46,43.07301556,-89.40111699
Canada,Calgary,0.0,42,51.08299176,-114.0799982
United States of America,Springfield,0.0,14,44.05194806,-122.9780339
United States of America,Springfield,0.0,14,42.12002464,-72.57999903
United States of America,Springfield,0.0,14,39.92000388,-83.799986
United States of America,Springfield,0.0,14,39.82000999,-89.65001652
United States of America,Springfield,0.0,14,37.18001609,-93.31999923
United States of America,San Antonio,0.0,6,29.48733319,-98.50730534
United States of America,Salt Lake City,0.0,14,40.7750163,-111.9300519
United States of America,Boise,1.0,38,43.60859011,-116.2274899
Canada,Ottawa,0.0,39,45.4166968,-75.7000153
United States of America,Wilmington,0.0,11,39.74626772,-75.54689803
United States of America,Wilmington,0.0,11,34.22551943,-77.94502039
Canada,Winnipeg,0.0,18,49.88298749,-97.16599186
United States of America,Newark,1.0,8,40.70042137,-74.17000533
United States of America,Raleigh,0.0,19,35.81878135,-78.64469344
United States of America,Fayetteville,0.0,19,36.06297833,-94.15720911
United States of America,Fayetteville,0.0,19,35.06293601,-78.88359359
United States of America,Buffalo,0.0,24,42.87997825,-78.88000208
United States of America,Columbia,0.0,10,35.61499534,-87.03526656
United States of America,Columbia,0.0,10,38.95207847,-92.33390955
United States of America,Columbia,0.0,10,34.0399752,-80.89998214
United States of America,Nashville,0.0,42,36.16997438,-86.77998499
United States of America,Alexandria,0.0,43,38.82043276,-77.09998153
United States of America,Alexandria,0.0,43,31.31109784,-92.44501388
United States of America,Canton,0.0,34,40.79886497,-81.37863509
United States of America,Kansas City,0.0,18,39.11358052,-94.63014638
United States of America,Kansas City,0.0,18,39.10708851,-94.60409422
United States of America,Baltimore,0.0,48,39.29999005,-76.61998499
United States of America,Pasadena,1.0,44,29.66086265,-95.14774296
United States of America,Pasadena,1.0,44,34.16038129,-118.1388719
United States of America,Lynchburg,0.0,4,37.4136194,-79.14246668
