country,city,clicks,views,lat,lng
United States of America,Los Angeles,0.0,392,33.98997825,-118.1799805
United States of America,New York,0.0,99,40.74997906,-73.98001693
United States of America,Seattle,0.0,186,47.57000205,-122.339985
United States of America,Chicago,1.0,125,41.82999066,-87.75005497
United States of America,Portland,0.0,134,43.67216158,-70.2455274
United States of America,Portland,0.0,134,45.52002382,-122.6799901
United States of America,San Francisco,0.0,149,37.74000775,-122.4599777
United States of America,Houston,0.0,120,29.81997438,-95.33997929
United States of America,Philadelphia,0.0,46,39.99997316,-75.16999597
United States of America,Austin,0.0,35,30.26694969,-97.74277836
United States of America,San Diego,1.0,176,32.82002382,-117.1799899
United States of America,Denver,0.0,111,39.73918805,-104.984016
United States of America,Minneapolis,0.0,36,44.97997927,-93.25178634
United States of America,San Jose,0.0,98,37.29998293,-121.8499891
United States of America,Atlanta,1.0,62,33.83001385,-84.39994938
Canada,Toronto,0.0,38,43.69997988,-79.42002079
United States of America,Las Vegas,0.0,92,35.59701194,-105.2225027
United States of America,Las Vegas,0.0,92,36.20999778,-115.2200061
United States of America,Oakland,0.0,121,37.76892071,-122.2211034
United States of America,Miami,0.0,40,25.7876107,-80.22410608
United States of America,Columbus,0.0,22,32.47043276,-84.98001734
United States of America,Columbus,0.0,22,39.97997438,-82.9900096
Singapore,Singapore,0.0,218,1.293033466,103.8558207
United States of America,Charlotte,0.0,16,35.20499453,-80.83003809
United States of America,Phoenix,0.0,69,33.53997988,-112.0699917
United States of America,Dallas,0.0,41,32.82002382,-96.84001693
United States of America,Richmond,0.0,52,39.82889833,-84.89028121
United States of America,Richmond,0.0,52,37.55001935,-77.449986
United States of America,Arlington,0.0,24,32.68476076,-97.02023849
United States of America,Rochester,0.0,30,44.02205324,-92.46968937
United States of America,Rochester,0.0,30,43.17042564,-77.61994979
United States of America,Orlando,0.0,35,28.50997683,-81.38003036
United States of America,Boston,0.0,24,42.32996014,-71.07001367
United States of America,Pittsburgh,0.0,64,40.4299986,-79.99998539
United States of America,Indianapolis,0.0,14,39.74998842,-86.17004806
United States of America,Louisville,0.0,25,38.22501691,-85.74870427
